Date,Open,High,Low,Close,Volume
2021-06-14,254.555,256.58,253.463,256.521,19402387.998187
2021-06-15,256.411,256.62,254.337,255.011,18276191.32975
2021-06-16,256.034,257.196,251.119,254.038,27577971.7005
2021-06-17,252.738,258.347,252.679,257.503,27928097.749155
2021-06-18,256.263,258.893,255.398,256.064,37691525.992868
2021-06-21,256.451,260.104,254.575,259.22,27047244.057759
2021-06-22,259.31,262.339,258.993,262.06,25018882.518437
2021-06-23,262.537,263.361,260.997,261.832,19775404.652969
2021-06-24,262.696,264.373,262.021,263.222,21728950.928065
2021-06-25,262.765,263.779,261.326,261.584,25947968.152328
2021-06-28,262.726,265.416,262.457,265.237,19847685.582101
2021-06-29,265.376,268.115,264.503,267.878,20200046.801491
2021-06-30,267.173,267.838,266.111,267.381,21941297.184511
2021-07-01,266.111,268.305,266.101,268.067,16945306.810956
2021-07-02,269.278,274.391,268.959,274.044,26822617.960639
2021-07-06,274.421,275.751,270.747,274.054,31980732.248247
2021-07-07,275.781,277.051,273.547,276.296,23565963.116759
2021-07-08,273.308,275.115,271.293,273.814,24942392.135268
2021-07-09,272.137,274.441,271.74,274.331,24231233.13001
2021-07-12,275.532,276.138,272.991,273.715,19180698.143835
2021-07-13,273.914,279.176,273.784,277.329,26463677.139962
2021-07-14,278.69,279.98,276.903,278.847,23417668.251399
2021-07-15,278.343,278.847,276.198,277.379,22901534.188485
2021-07-16,278.41,280.417,275.84,277.1,26531275.189977
2021-07-19,275.314,276.723,270.896,273.417,33368825.65483
2021-07-20,274.421,277.319,272.674,275.701,26605127.48745
2021-07-21,275.284,277.866,273.685,277.746,24684776.368566
2021-07-22,280.158,282.699,279.742,282.422,23691621.212415
2021-07-23,283.643,286.224,282.779,285.906,23067532.12987
2021-07-26,285.251,285.926,282.919,285.301,23480900.71783
2021-07-27,285.678,285.808,279.275,282.819,34046057.205937
2021-07-28,285.241,286.383,280.148,282.502,34008346.380318
2021-07-29,282.522,284.874,282.362,282.779,18407255.536873
2021-07-30,281.469,282.939,280.228,281.21,21220327.199993
2021-08-02,282.639,283.056,280.059,281.122,16481315.987504
2021-08-03,281.707,283.504,280.317,283.395,18114205.414071
2021-08-04,282.502,283.862,280.952,282.789,16404260.516106
2021-08-05,283.156,285.866,282.382,285.758,14082990.881505
2021-08-06,284.756,285.738,283.892,285.698,16807530.040609
2021-08-09,285.986,287.762,284.079,284.586,16329619.5126
2021-08-10,285.053,285.499,281.499,282.719,18861436.388352
2021-08-11,283.484,284.914,282.144,283.226,14139491.646253
2021-08-12,282.909,286.204,282.62,286.045,14762031.52078
2021-08-13,285.718,289.103,285.549,289.053,18489070.44123
2021-08-16,289.391,290.99,286.254,290.771,22812173.694227
2021-08-17,288.598,289.629,287.296,289.282,20339293.204152
2021-08-18,288.805,291.545,287.048,287.505,22057657.010194
2021-08-19,285.499,294.176,285.44,293.481,30185287.78862
2021-08-20,296.39,302.446,294.762,300.977,41275489.811256
2021-08-23,299.885,302.009,298.505,301.265,23086238.464145
2021-08-24,301.632,302.258,298.653,299.27,18379648.811147
2021-08-25,300.917,301.205,297.086,298.663,20230460.837197
2021-08-26,297.65,299.08,295.626,295.764,17864241.002447
2021-08-27,295.666,297.532,293.541,296.39,22859289.562286
2021-08-30,297.78,300.838,297.72,300.222,16531445.659458
2021-08-31,301.036,301.115,298.157,298.535,26580175.971305
2021-09-01,299.507,301.801,298.147,298.485,19196764.377838
2021-09-02,298.853,300.004,296.846,297.81,16473273.804916
2021-09-03,297.63,299.25,296.926,297.8,14917076.218996
2021-09-07,297.67,297.75,294.901,296.846,17376833.768846
2021-09-08,296.45,297.273,294.166,296.876,15215595.912372
2021-09-09,297.483,298.793,293.71,293.958,20150516.465539
2021-09-10,295.109,296.589,292.101,292.43,19853586.27168
2021-09-13,294.256,295.229,290.81,293.7,23918259.869756
2021-09-14,296.231,298.048,294.801,296.46,22098558.922291
2021-09-15,299.905,301.929,298.475,301.433,28674371.800407
2021-09-16,300.391,301.919,297.423,301.831,19770112.364979
2021-09-17,300.788,301.115,296.202,296.539,41836523.709952
2021-09-20,293.044,295.398,286.304,291.03,38708026.041763
2021-09-21,292.41,294.246,290.8,291.525,22614956.894504
2021-09-22,293.431,296.886,291.237,295.268,26925004.695532
2021-09-23,295.526,297.562,294.236,296.231,18813285.028849
2021-09-24,294.931,296.469,293.64,296.023,15167218.920491
2021-09-27,292.857,293.184,289.699,290.9,23836141.771894
2021-09-28,286.581,287.555,279.613,280.377,43670649.012961
2021-09-29,281.935,283.593,279.87,280.854,26649300.061728
2021-09-30,282.542,284.636,278.5,278.798,32706427.41795
2021-10-01,278.997,286.761,278.173,285.886,30423752.000019
2021-10-04,284.219,284.556,277.14,279.97,31702402.623484
2021-10-05,280.893,287.178,280.893,285.559,25273366.628619
2021-10-06,282.611,290.374,282.342,289.858,28316658.863068
2021-10-07,291.903,293.352,290.652,291.575,20659635.779013
2021-10-08,292.934,293.352,290.493,291.575,17884077.513182
2021-10-11,289.679,294.673,289.5,290.96,19515103.458062
2021-10-12,292.061,292.161,289.113,289.639,18175755.710547
